,name,teamName,errorsInFavor,totalErrors,errorsAgainst,errorDelta
0,Jacyn Goble,76ers,9,30,4,5
1,Phenizee Ransom,76ers,7,17,2,5
2,Lauren Holtkamp,Kings,7,28,2,5
3,Karl Lane,Cavaliers,7,22,1,6
4,Gediminas Petraitis,Hornets,6,31,1,5
5,Brent Barnaky,Celtics,6,22,4,2
6,Rodney Mott,Celtics,6,20,3,3
7,Matt Boland,Lakers,5,25,1,4
8,Tre Maddox,Lakers,5,15,2,3
9,Josh Tiven,Lakers,5,30,2,3
10,Ben Taylor,Pacers,5,28,5,0
11,Scott Twardoski,Mavericks,5,29,2,3
12,Scott Wall,Knicks,5,19,1,4
13,Matt Myers,Thunder,5,20,1,4
14,Courtney Kirkland,76ers,5,21,2,3
15,Suyash Mehta,Lakers,5,14,2,3
16,Tony Brothers,Raptors,5,24,2,3
17,Aaron Smith,Celtics,5,19,0,5
18,Brent Barnaky,Heat,5,22,1,4
19,David Guthrie,Celtics,5,32,0,5
20,David Guthrie,Magic,5,32,4,1
21,Scott Twardoski,Knicks,4,29,3,1
22,Matt Boland,Celtics,4,25,1,3
23,Curtis Blair,Knicks,4,17,2,2
24,Curtis Blair,Hornets,4,17,1,3
25,Matt Boland,Timberwolves,4,25,4,0
26,Mousa Dagher,Spurs,4,22,2,2
27,Brandon Schwab,Kings,4,11,0,4
28,Jonathan Sterling,Nuggets,4,17,3,1
29,Eric Lewis,Kings,4,20,1,3
30,Mousa Dagher,Pacers,4,22,3,1
31,Gediminas Petraitis,Raptors,4,31,0,4
32,John Conley,Heat,4,9,2,2
33,Courtney Kirkland,Nets,4,21,0,4
34,Gediminas Petraitis,Thunder,4,31,2,2
35,Matt Boland,Mavericks,4,25,3,1
36,Tyler Ford,Nuggets,4,25,3,1
37,John Butler,Celtics,4,25,1,3
38,Matt Myers,Raptors,4,20,0,4
39,John Butler,Mavericks,4,25,2,2
40,James Capers,Mavericks,4,19,2,2
41,James Capers,Suns,4,19,3,1
42,Brian Forte,Pistons,4,21,0,4
43,Zach Zarba,Grizzlies,4,21,3,1
44,Josh Tiven,Knicks,4,30,0,4
45,Josh Tiven,Cavaliers,4,30,2,2
46,Josh Tiven,76ers,4,30,6,-2
47,James Capers,Grizzlies,3,19,0,3
48,Robert Hussey,Hawks,3,10,2,1
49,Mousa Dagher,Grizzlies,3,22,0,3
50,Andy Nagy,Grizzlies,3,12,0,3
51,Matt Kallio,Cavaliers,3,15,0,3
52,Ed Malloy,Lakers,3,16,1,2
53,Derek Richardson,Lakers,3,10,1,2
54,Derek Richardson,Pacers,3,10,2,1
55,Eric Dalen,Cavaliers,3,6,0,3
56,Kevin Scott,Trail Blazers,3,16,0,3
57,Natalie Sago,76ers,3,19,2,1
58,Natalie Sago,Wizards,3,19,1,2
59,Matt Kallio,Trail Blazers,3,15,0,3
60,Brent Barnaky,Bulls,3,22,1,2
61,Eric Dalen,Grizzlies,3,6,0,3
62,Tre Maddox,Mavericks,3,15,6,-3
63,Mousa Dagher,Pistons,3,22,3,0
64,Ben Taylor,Hornets,3,28,1,2
65,Ray Acosta,Cavaliers,3,14,0,3
66,JB DeRosa,Cavaliers,3,20,1,2
67,CJ Washington,Knicks,3,18,2,1
68,JB DeRosa,Spurs,3,20,0,3
69,JB DeRosa,Thunder,3,20,0,3
70,Leon Wood,Warriors,3,25,3,0
71,Leon Wood,Hawks,3,25,3,0
72,Ray Acosta,Nuggets,3,14,0,3
73,Curtis Blair,Heat,3,17,2,1
74,Kevin Scott,Mavericks,3,16,1,2
75,Tony Brothers,Thunder,3,24,0,3
76,Tony Brothers,Hornets,3,24,1,2
77,Tony Brothers,76ers,3,24,1,2
78,Ray Acosta,Bulls,3,14,0,3
79,John Goble,Spurs,3,17,0,3
80,John Goble,Pacers,3,17,3,0
81,John Goble,76ers,3,17,0,3
82,Ben Taylor,Celtics,3,28,1,2
83,Matt Kallio,Warriors,3,15,0,3
84,Justin Van Duyne,Thunder,3,16,2,1
85,Ashley Moyer-Gleich,Raptors,3,8,0,3
86,Ben Taylor,Hawks,3,28,2,1
87,Ed Malloy,Heat,3,16,3,0
88,Lauren Holtkamp,Nuggets,3,28,4,-1
89,Leon Wood,Kings,3,25,2,1
90,Leon Wood,Heat,3,25,2,1
91,Pat Fraher,Kings,3,33,5,-2
92,Pat Fraher,Mavericks,3,33,2,1
93,Karl Lane,Jazz,3,22,1,2
94,Brett Nansel,76ers,3,16,1,2
95,Nate Green,Bucks,3,17,0,3
96,Mitchell Ervin,Pacers,3,20,2,1
97,Mitchell Ervin,Thunder,3,20,0,3
98,Scott Twardoski,Hornets,3,29,3,0
99,Scott Wall,Thunder,3,19,0,3
100,Brandon Schwab,76ers,3,11,2,1
101,Eric Lewis,Nuggets,3,20,4,-1
102,Scott Wall,Warriors,3,19,0,3
103,Nate Green,Nuggets,3,17,2,1
104,Jacyn Goble,Lakers,3,30,1,2
105,John Butler,Hawks,3,25,3,0
106,Tyler Ford,Trail Blazers,3,25,0,3
107,John Butler,Thunder,3,25,1,2
108,John Butler,Warriors,3,25,3,0
109,Brian Forte,Bulls,3,21,1,2
110,Pat O'Connell,76ers,3,8,1,2
111,Zach Zarba,Warriors,3,21,3,0
112,Zach Zarba,Hawks,3,21,3,0
113,Zach Zarba,Knicks,3,21,3,0
114,Zach Zarba,Pacers,3,21,1,2
115,Pat Fraher,Raptors,3,33,3,0
116,Karl Lane,Pelicans,3,22,2,1
117,Jacyn Goble,Celtics,3,30,4,-1
118,Marc Davis,Hornets,3,17,1,2
119,Marc Davis,Bulls,3,17,0,3
120,James Williams,Bucks,3,23,1,2
121,Nick Buchert,Nuggets,3,22,1,2
122,J.T. Orr,Raptors,3,12,0,3
123,Rodney Mott,Warriors,3,20,0,3
124,Sean Wright,Lakers,3,19,1,2
125,Dedric Taylor,Warriors,3,34,0,3
126,Dedric Taylor,Nuggets,3,34,2,1
127,Dedric Taylor,Knicks,3,34,3,0
128,Dedric Taylor,Hornets,3,34,4,-1
129,Nick Buchert,Grizzlies,3,22,0,3
130,James Williams,Nuggets,3,23,2,1
131,Dedric Taylor,Heat,3,34,3,0
132,James Williams,Thunder,3,23,1,2
133,Sean Corbin,Hawks,3,25,0,3
134,Sean Wright,Thunder,3,19,1,2
135,Jacyn Goble,Cavaliers,3,30,4,-1
136,David Guthrie,Pacers,3,32,0,3
137,David Guthrie,Kings,3,32,2,1
138,Dedric Taylor,Spurs,2,34,0,2
139,JB DeRosa,Hawks,2,20,1,1
140,Sean Wright,Clippers,2,19,1,1
141,Scott Twardoski,Warriors,2,29,2,0
142,Ben Taylor,Spurs,2,28,2,0
143,Zach Zarba,Rockets,2,21,0,2
144,JB DeRosa,Pacers,2,20,0,2
145,Matt Kallio,Clippers,2,15,0,2
146,Ben Taylor,Nets,2,28,3,-1
147,Scott Twardoski,Cavaliers,2,29,1,1
148,Dedric Taylor,Suns,2,34,2,0
149,Jacyn Goble,Hornets,2,30,0,2
150,Sean Wright,Heat,2,19,0,2
151,Scott Twardoski,Grizzlies,2,29,1,1
152,Scott Twardoski,Lakers,2,29,0,2
153,Scott Twardoski,Rockets,2,29,1,1
154,Scott Twardoski,Suns,2,29,0,2
155,Sean Wright,Hawks,2,19,2,0
156,Lauren Holtkamp,Pelicans,2,28,0,2
157,Sean Wright,Nuggets,2,19,6,-4
158,Brett Nansel,Bulls,2,16,0,2
159,Nick Buchert,Pelicans,2,22,1,1
160,Brandon Adair,Pelicans,2,18,1,1
161,Brandon Adair,Cavaliers,2,18,2,0
162,Brandon Adair,Celtics,2,18,2,0
163,Brandon Adair,76ers,2,18,0,2
164,Aaron Smith,76ers,2,19,0,2
165,Aaron Smith,Trail Blazers,2,19,0,2
166,Aaron Smith,Magic,2,19,3,-1
167,Aaron Smith,Mavericks,2,19,1,1
168,Brett Nansel,Pacers,2,16,0,2
169,Brett Nansel,Clippers,2,16,1,1
170,Brett Nansel,Thunder,2,16,0,2
171,Nick Buchert,Heat,2,22,1,1
172,Jacyn Goble,Knicks,2,30,1,1
173,Nick Buchert,Rockets,2,22,0,2
174,Mitchell Ervin,Spurs,2,20,2,0
175,Mitchell Ervin,Grizzlies,2,20,1,1
176,Eric Lewis,Cavaliers,2,20,1,1
177,Eric Lewis,Thunder,2,20,0,2
178,Eric Lewis,Pelicans,2,20,0,2
179,Eric Lewis,Lakers,2,20,5,-3
180,Mitchell Ervin,Hornets,2,20,1,1
181,Mitchell Ervin,Clippers,2,20,1,1
182,Brian Forte,Celtics,2,21,1,1
183,Michael Smith,Raptors,2,7,0,2
184,Michael Smith,Spurs,2,7,0,2
185,Marc Davis,Pistons,2,17,0,2
186,Matt Myers,Lakers,2,20,0,2
187,Leon Wood,Magic,2,25,3,-1
188,Leon Wood,Rockets,2,25,0,2
189,Josh Tiven,Timberwolves,2,30,3,-1
190,Josh Tiven,Mavericks,2,30,5,-3
191,Josh Tiven,Clippers,2,30,1,1
192,Josh Tiven,Jazz,2,30,0,2
193,Ed Malloy,Mavericks,2,16,1,1
194,Bill Kennedy,Bulls,2,10,0,2
195,Bill Kennedy,Knicks,2,10,1,1
196,Bill Kennedy,Mavericks,2,10,1,1
197,Bill Kennedy,Cavaliers,2,10,3,-1
198,Ed Malloy,Pacers,2,16,1,1
199,Ed Malloy,Raptors,2,16,0,2
200,Jacyn Goble,Pacers,2,30,5,-3
201,Tre Maddox,Heat,2,15,0,2
202,Tre Maddox,Suns,2,15,1,1
203,Ed Malloy,Thunder,2,16,5,-3
204,Dedric Taylor,Celtics,2,34,1,1
205,James Capers,Timberwolves,2,19,4,-2
206,James Capers,Heat,2,19,2,0
207,Derek Richardson,Nets,2,10,3,-1
208,Jacyn Goble,Raptors,2,30,0,2
209,Matt Boland,Warriors,2,25,0,2
210,Andy Nagy,Celtics,2,12,2,0
211,Andy Nagy,Lakers,2,12,1,1
212,Andy Nagy,Rockets,2,12,1,1
213,Jenna Schroeder,Cavaliers,2,6,1,1
214,Dedric Taylor,Mavericks,2,34,4,-2
215,Kevin Scott,Wizards,2,16,1,1
216,Dannica Mosher,Hornets,2,11,0,2
217,Sean Corbin,Nuggets,2,25,6,-4
218,Sean Corbin,Pelicans,2,25,0,2
219,Jonathan Sterling,Kings,2,17,3,-1
220,Jonathan Sterling,Pistons,2,17,0,2
221,Natalie Sago,Thunder,2,19,4,-2
222,Natalie Sago,Mavericks,2,19,2,0
223,Natalie Sago,Bucks,2,19,1,1
224,Natalie Sago,Warriors,2,19,0,2
225,Lauren Holtkamp,Magic,2,28,3,-1
226,Brent Barnaky,Cavaliers,2,22,1,1
227,Brent Barnaky,Clippers,2,22,1,1
228,Natalie Sago,Timberwolves,2,19,3,-1
229,Sean Corbin,Thunder,2,25,0,2
230,Sean Corbin,Magic,2,25,1,1
231,Sean Corbin,Lakers,2,25,1,1
232,John Goble,Clippers,2,17,0,2
233,Sean Corbin,Cavaliers,2,25,2,0
234,Sean Corbin,Kings,2,25,3,-1
235,Jonathan Sterling,Spurs,2,17,0,2
236,Jonathan Sterling,Nets,2,17,1,1
237,Scott Foster,Timberwolves,2,13,0,2
238,Gediminas Petraitis,Warriors,2,31,0,2
239,Dannica Mosher,Raptors,2,11,1,1
240,Gediminas Petraitis,Suns,2,31,1,1
241,Gediminas Petraitis,Pelicans,2,31,4,-2
242,Gediminas Petraitis,Mavericks,2,31,0,2
