,personId,name,nameI,firstName,familyName,jerseyNum,assignment,gameId
140,1628953,Ashley Moyer-Gleich,A. Moyer-Gleich,Ashley,Moyer-Gleich,13  ,,22200619
141,200834,Mark Lindsay,M. Lindsay,Mark,Lindsay,29  ,,22200620
142,202007,Nick Buchert,N. Buchert,Nick,Buchert,3   ,,22200620
143,1627961,Brandon Adair,B. Adair,Brandon,Adair,67  ,,22200620
144,2534,Zach Zarba,Z. Zarba,Zach,Zarba,15  ,,22200622
145,203177,Lauren Holtkamp,L. Holtkamp,Lauren,Holtkamp,7   ,,22200622
146,1626300,Ray Acosta,R. Acosta,Ray,Acosta,54  ,,22200622
147,1155,JB DeRosa,J. DeRosa,JB,DeRosa,22  ,,22200623
148,101284,John Goble,J. Goble,John,Goble,10  ,,22200623
149,1628172,Evan Scott,E. Scott,Evan,Scott,78  ,,22200623
150,201638,Brent Barnaky,B. Barnaky,Brent,Barnaky,36  ,,22200611
151,202041,Kevin Scott,K. Scott,Kevin,Scott,24  ,,22200611
152,202056,CJ Washington,C. Washington,CJ,Washington,12  ,,22200611
153,2882,Sean Wright,S. Wright,Sean,Wright,4   ,,22200614
154,204058,Gediminas Petraitis,G. Petraitis,Gediminas,Petraitis,50  ,,22200614
155,1627539,Tyler Ricks,T. Ricks,Tyler,Ricks,95  ,,22200614
156,201639,Josh Tiven,J. Tiven,Josh,Tiven,58  ,,22200616
157,1626302,Aaron Smith,A. Smith,Aaron,Smith,51  ,,22200616
158,1628159,Mousa Dagher,M. Dagher,Mousa,Dagher,28  ,,22200616
159,2534,Zach Zarba,Z. Zarba,Zach,Zarba,15  ,,22200606
160,201246,Kevin Cutler,K. Cutler,Kevin,Cutler,34  ,,22200606
161,1628954,Jenna Schroeder,J. Schroeder,Jenna,Schroeder,84  ,,22200606
162,1179,Rodney Mott,R. Mott,Rodney,Mott,71  ,,22200607
163,202058,James Williams,J. Williams,James,Williams,60  ,,22200607
164,1627524,Nate Green,N. Green,Nate,Green,65  ,,22200607
165,1146,Tony Brothers,T. Brothers,Tony,Brothers,25  ,,22200598
166,202053,Scott Twardoski,S. Twardoski,Scott,Twardoski,52  ,,22200598
167,1628171,Brandon Schwab,B. Schwab,Brandon,Schwab,86  ,,22200598
168,200834,Mark Lindsay,M. Lindsay,Mark,Lindsay,29  ,,22200599
169,1626300,Ray Acosta,R. Acosta,Ray,Acosta,54  ,,22200599
170,1627964,Jonathan Sterling,J. Sterling,Jonathan,Sterling,17  ,,22200599
171,2882,Sean Wright,S. Wright,Sean,Wright,4   ,,22200604
172,203591,Mitchell Ervin,M. Ervin,Mitchell,Ervin,27  ,,22200604
173,1627529,Suyash Mehta,S. Mehta,Suyash,Mehta,82  ,,22200604
174,1179,Rodney Mott,R. Mott,Rodney,Mott,71  ,,22200591
175,2005,Matt Boland,M. Boland,Matt,Boland,18  ,,22200591
176,1628951,John Butler,J. Butler,John,Butler,30  ,,22200591
177,2003,Pat Fraher,P. Fraher,Pat,Fraher,26  ,,22200595
178,203592,Dedric Taylor,D. Taylor,Dedric,Taylor,21  ,,22200595
179,1627962,Jacyn Goble,J. Goble,Jacyn,Goble,68  ,,22200595
180,1162,Scott Foster,S. Foster,Scott,Foster,48  ,,22200580
181,2002,Derrick Collins,D. Collins,Derrick,Collins,11  ,,22200580
182,204058,Gediminas Petraitis,G. Petraitis,Gediminas,Petraitis,50  ,,22200580
183,1151,Sean Corbin,S. Corbin,Sean,Corbin,33  ,,22200582
184,1830,Marc Davis,M. Davis,Marc,Davis,8   ,,22200582
185,1627961,Brandon Adair,B. Adair,Brandon,Adair,67  ,,22200582
186,1155,JB DeRosa,J. DeRosa,JB,DeRosa,22  ,,22200586
187,204059,Tyler Ford,T. Ford,Tyler,Ford,39  ,,22200586
188,1626302,Aaron Smith,A. Smith,Aaron,Smith,51  ,,22200586
189,1148,James Capers,J. Capers,James,Capers,19  ,,22200565
190,1151,Sean Corbin,S. Corbin,Sean,Corbin,33  ,,22200565
191,1628484,Dannica Mosher,D. Mosher,Dannica,Mosher,89  ,,22200565
192,2004,Courtney Kirkland,C. Kirkland,Courtney,Kirkland,61  ,,22200567
193,1627962,Jacyn Goble,J. Goble,Jacyn,Goble,68  ,,22200567
194,1627963,Phenizee Ransom,P. Ransom,Phenizee,Ransom,70  ,,22200567
